year,apartments_entry_guaranteed,apartments_entry_municipal,apartments_entry_costs_guaranteed,apartments_entry_costs_municipal,apartments_yearly_guaranteed,apartments_yearly_municipal,apartments_yearly_costs_guaranteed,apartments_yearly_costs_municipal,consulting,consulting_costs,mops,mops_costs,social_assistance,social_assistance_costs
0,2500.0,3285.0,12500000.0,16425000.0,2500.0,3285.0,62500000.0,82125000.0,13925.3125,69626562.5,4709.0625,70635937.5,5785.0,173550000.0
1,2500.0,3285.0,12500000.0,16425000.0,5000.0,6570.0,125000000.0,164250000.0,12762.22965234375,63811148.26171876,3969.39441796875,59540916.26953125,11570.0,347100000.0
2,2500.0,3300.0,12500000.0,16500000.0,5000.0,9870.0,125000000.0,246750000.0,11837.099104385205,59185495.52192602,3360.533681739697,50408005.22609545,14870.0,446100000.0
3,2500.0,3315.0,12500000.0,16575000.0,5000.0,13185.0,125000000.0,329625000.0,11028.762615855776,55143813.07927888,2828.099262809226,42421488.94213839,18185.0,545550000.0
4,2500.0,3330.0,12500000.0,16650000.0,5000.0,16515.0,125000000.0,412875000.0,10322.31584576085,51611579.228804246,2362.2137205302865,35433205.8079543,21515.0,645450000.0
5,2500.0,3344.9999999999995,12500000.0,16724999.999999998,5000.0,16575.0,125000000.0,414375000.0,9764.839419133223,48824197.09566611,1998.7514590398637,29981271.885597955,21575.0,647250000.0
6,2500.0,3359.9999999999986,12500000.0,16799999.999999993,5000.0,16650.0,125000000.0,416250000.0,9311.202843250609,46556014.21625304,1750.2151953068942,26253227.929603413,21650.0,649500000.0
7,2500.0,3375.000000000003,12500000.0,16875000.000000015,5000.0,16725.000000000004,125000000.0,418125000.0000001,8924.27086873848,44621354.3436924,1557.2613645033603,23358920.467550404,21725.000000000004,651750000.0000001
8,2500.0,3389.999999999998,12500000.0,16949999.999999993,5000.0,16800.0,125000000.0,420000000.0,8583.05816875978,42915290.843798906,1388.3472930453486,20825209.39568023,21800.0,654000000.0
9,2500.0,3404.999999999998,12500000.0,17024999.999999993,5000.0,16875.0,125000000.0,421875000.0,8280.976266572286,41404881.33286143,1238.2056694057476,18573085.041086216,21875.0,656250000.0
10,2500.0,3419.999999999997,12500000.0,17099999.999999985,5000.0,16949.999999999996,125000000.0,423749999.9999999,8026.839716745744,40134198.58372872,1105.3837132681247,16580755.69902187,21949.999999999996,658499999.9999999
11,2500.0,3435.0000000000027,12500000.0,17175000.000000015,5000.0,17025.0,125000000.0,425625000.0,7809.903409012919,39049517.0450646,992.9521695324338,14894282.542986507,22025.0,660750000.0
12,2500.0,3450.000000000002,12500000.0,17250000.000000007,5000.0,17099.999999999996,125000000.0,427499999.9999999,7619.774550213479,38098872.7510674,895.3340391304716,13430010.586957075,22099.999999999996,662999999.9999999
13,2500.0,3465.000000000002,12500000.0,17325000.000000007,5000.0,17175.0,125000000.0,429375000.0,7451.7377334776675,37258688.667388335,808.5735525308348,12128603.287962522,22175.0,665250000.0
14,2500.0,3113.3427735379946,12500000.0,15566713.867689973,5000.0,16883.342773537996,125000000.0,422083569.3384499,6936.327663063672,34681638.31531836,731.0047940909064,10965071.911363596,21883.342773537996,656500283.2061399
15,2500.0,2729.9228857137123,12500000.0,13649614.42856856,5000.0,16193.265659251712,125000000.0,404831641.4812928,6462.945146264079,32314725.731320396,687.981401127787,10319721.016916804,21193.265659251712,635797969.7775514
16,2500.0,2644.0950387271046,12500000.0,13220475.193635523,5000.0,15402.360697978813,125000000.0,385059017.44947034,6356.970550157143,31784852.750785716,678.200594417964,10173008.91626946,20402.360697978813,612070820.9393644
17,2500.0,2626.604910320513,12500000.0,13133024.551602567,5000.0,14578.965608299322,125000000.0,364474140.20748305,6335.374294327521,31676871.471637607,676.197316269841,10142959.744047616,19578.965608299324,587368968.2489797
18,2500.0,2624.5822351842685,12500000.0,13122911.175921343,5000.0,13738.547843483588,125000000.0,343463696.0870897,6332.87654482566,31664382.7241283,675.9619776491365,10139429.664737048,18738.54784348359,562156435.3045077
19,2500.0,2578.5521220795968,12500000.0,12892760.610397983,5000.0,13203.75719202519,125000000.0,330093929.80062973,6276.049175638093,31380245.878190465,670.8463397398684,10062695.096098026,18203.75719202519,546112715.7607557
